,hospital-er-wait-minutes-columbus_midtown,hospital-er-wait-minutes-columbus_northside,hospital-er-wait-minutes-columbus_midtown_peds
757,64.0,1.0,38.0
758,64.0,1.0,34.0
759,64.0,1.0,34.0
760,64.0,1.0,34.0
761,64.0,1.0,34.0
762,49.0,1.0,34.0
763,49.0,1.0,34.0
764,49.0,1.0,14.0
765,49.0,1.0,14.0
766,49.0,1.0,14.0
767,49.0,6.0,14.0
768,73.0,6.0,14.0
769,73.0,6.0,14.0
770,73.0,6.0,10.0
771,73.0,6.0,10.0
772,73.0,6.0,10.0
773,73.0,12.0,10.0
774,100.0,12.0,10.0
775,100.0,12.0,10.0
776,100.0,12.0,10.0
777,100.0,12.0,10.0
778,100.0,12.0,10.0
779,84.0,13.0,10.0
780,84.0,13.0,10.0
781,84.0,13.0,0.0
782,84.0,13.0,0.0
783,84.0,13.0,0.0
784,84.0,19.0,0.0
785,66.0,19.0,0.0
786,66.0,19.0,0.0
787,66.0,19.0,0.0
788,66.0,19.0,0.0
789,66.0,19.0,0.0
790,66.0,19.0,0.0
791,36.0,19.0,0.0
792,36.0,19.0,0.0
793,36.0,19.0,0.0
794,36.0,19.0,0.0
795,36.0,19.0,0.0
796,30.0,0.0,0.0
797,30.0,0.0,0.0
798,30.0,0.0,12.0
799,30.0,0.0,12.0
800,30.0,0.0,12.0
801,30.0,0.0,12.0
802,34.0,0.0,12.0
803,34.0,0.0,12.0
804,34.0,0.0,12.0
805,34.0,0.0,12.0
806,34.0,0.0,12.0
807,34.0,0.0,12.0
808,50.0,0.0,12.0
809,50.0,0.0,12.0
810,50.0,0.0,0.0
811,50.0,0.0,0.0
812,50.0,0.0,0.0
813,50.0,0.0,0.0
814,78.0,0.0,0.0
815,78.0,0.0,3.0
816,78.0,0.0,3.0
817,78.0,0.0,3.0
818,78.0,27.0,3.0
819,78.0,27.0,3.0
820,101.0,27.0,3.0
821,101.0,27.0,17.0
822,101.0,27.0,17.0
823,101.0,27.0,17.0
824,101.0,27.0,17.0
825,101.0,27.0,17.0
826,123.0,27.0,17.0
827,123.0,27.0,17.0
828,123.0,27.0,17.0
829,123.0,5.0,17.0
830,123.0,5.0,17.0
831,123.0,5.0,17.0
832,167.0,5.0,17.0
833,167.0,5.0,0.0
834,167.0,5.0,0.0
835,167.0,5.0,0.0
836,167.0,5.0,0.0
837,167.0,5.0,0.0
838,193.0,5.0,0.0
839,193.0,5.0,4.0
840,193.0,5.0,4.0
841,193.0,5.0,4.0
842,193.0,5.0,4.0
843,193.0,5.0,4.0
844,108.0,5.0,4.0
845,108.0,5.0,7.0
846,108.0,5.0,7.0
847,108.0,8.0,7.0
848,108.0,8.0,7.0
849,93.0,8.0,7.0
850,93.0,8.0,7.0
851,93.0,8.0,7.0
852,93.0,19.0,7.0
853,93.0,19.0,7.0
854,93.0,19.0,7.0
